Tennsco Industrial Shelving,Thais Sissman,50465,-953,48.91,35,Manitoba,Storage & Organization,0.83
Canon P1-DHIII Palm Printing Calculator,Harry Marie,50469,76.38,17.98,8.51,Manitoba,Office Machines,0.4
Fellowes PB300 Plastic Comb Binding Machine,Tracy Collins,50789,3440.05,387.99,19.99,Manitoba,Binders and Binder Accessories,0.38
"Global Deluxe Stacking Chair, Gray",Linda Southworth,51044,120.01,50.98,14.19,Manitoba,Chairs & Chairmats,0.56
Avery Hi-Liter® Smear-Safe Highlighters,Linda Southworth,51044,35.45,5.84,0.83,Manitoba,Pens & Art Supplies,0.49
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Tracy Collins,51302,-223.5,3.75,7.5,Manitoba,Labels,0.37
"Micro Innovations Micro 3000 Keyboard, Black",Jamie Frazer,51392,-106.58,26.31,5.89,Manitoba,Computer Peripherals,0.75
Xerox 1936,Rachel Payne,51650,91.09,19.98,5.97,Manitoba,Paper,0.38
Epson LQ-570e Dot Matrix Printer,Rachel Payne,51650,2039.41,270.97,28.06,Manitoba,Office Machines,0.56
Newell 343,Rachel Payne,51650,-5.29,2.94,0.96,Manitoba,Pens & Art Supplies,0.58
Avery White Multi-Purpose Labels,Rachel Payne,51652,95.56,4.98,0.49,Manitoba,Labels,0.39
"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Rachel Payne,51652,44.13,140.85,19.99,Manitoba,Storage & Organization,0.73
Accessory36,Victor Price,51876,-298.17,55.99,5,Manitoba,Telephones and Communication,0.83
"Binney & Smith inkTank™ Erasable Pocket Highlighter, Chisel Tip, Yellow",Natalie Webber,52070,-109.94,2.28,5.2,Manitoba,Pens & Art Supplies,0.41
Stockwell Push Pins,Jack Garza,52160,1.67,2.18,0.78,Manitoba,Rubber Bands,0.52
M3682,Jack Garza,52160,-403.02,125.99,8.08,Manitoba,Telephones and Communication,0.57
Aluminum Document Frame,Thais Sissman,52258,40.44,12.22,2.85,Manitoba,Office Furnishings,0.55
4009® Highlighters by Sanford,Thea Hudgings,52608,40.04,3.98,0.7,Manitoba,Pens & Art Supplies,0.52
GBC ProClick Punch Binding System,Steven Ward,52640,222.17,63.98,19.99,Manitoba,Binders and Binder Accessories,0.36
Eldon Advantage® Foldable Chair Mats for Low Pile Carpets,Eric Hoffmann,53412,375.87,54.2,11.1,Manitoba,Office Furnishings,0.64
"Global High-Back Leather Tilter, Burgundy",Gary Hwang,53568,-1446.08,122.99,70.2,Manitoba,Chairs & Chairmats,0.74
Xerox 1893,Elpida Rittenbach,53956,311.72,40.99,17.48,Manitoba,Paper,0.36
Staples Bulldog Clip,Toby Knight,54371,46.3,3.78,0.71,Manitoba,Rubber Bands,0.39
GBC Poly Designer Binding Covers,Toby Knight,54371,6.3,16.74,5.08,Manitoba,Binders and Binder Accessories,0.36
"80 Minute CD-R Spindle, 100/Pack - Staples",Toby Knight,54436,151.67,39.48,1.99,Manitoba,Computer Peripherals,0.54
"Imation Neon Mac Format Diskettes, 10/Pack",Toby Knight,54436,-47.23,8.12,2.83,Manitoba,Computer Peripherals,0.77
12-1/2 Diameter Round Wall Clock,Joseph Airdo,54464,44.29,19.98,10.49,Manitoba,Office Furnishings,0.49
Regeneration Desk Collection,Joseph Airdo,54464,-184.6,1.76,4.86,Manitoba,Office Furnishings,0.41
Avery 494,Valerie Takahito,54468,12.76,2.61,0.5,Manitoba,Labels,0.39
"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Valerie Takahito,54468,-114.18,11.66,7.95,Manitoba,Pens & Art Supplies,0.58
"DAX Value U-Channel Document Frames, Easel Back",Phillip Flathmann,54819,-20.68,4.97,5.71,Manitoba,Office Furnishings,0.54
Staples Metal Binder Clips,Phillip Flathmann,54819,11.42,2.62,0.8,Manitoba,Rubber Bands,0.39
6120,Phillip Flathmann,54819,624.12,65.99,8.8,Manitoba,Telephones and Communication,0.58
Avery White Multi-Purpose Labels,Natalie Webber,54882,34.98,4.98,0.49,Manitoba,Labels,0.39
